universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_362,0.45579999685287476,0.26939788,0.24374276,0.0,1.0,0.19718784,0.3196671,0.31760046,0.4061177,0.34779513,0.62666774,0.50541526,0.42157286,0.16536751,0.19162874,0.18145305,0.1794831,0.94409716,0.17763601
LH_363,0.47859999537467957,0.21191813,0.20485765,0.0,1.0,0.15723473,0.26384264,0.3025436,0.2854417,0.28394264,0.4833246,0.7418589,0.6661914,0.20541826,0.124308,0.15591842,0.16188157,1.1337155,0.1562587
LH_364,0.3885999917984009,0.19755405,0.19202727,0.0,1.0,0.13838038,0.33453366,0.27387717,0.2694809,0.29263058,0.6606535,0.4913611,0.47360814,0.17925984,0.23835099,0.13337836,0.18366306,0.99145836,0.1610863
LH_365,0.3617999851703644,0.21818838,0.20560397,0.0,1.0,0.15321201,0.31433794,0.30295986,0.3422116,0.3198365,0.42974585,0.4496141,0.40531254,0.15388605,0.13800573,0.20450786,0.16546655,0.7808013,0.16128235
LH_366,0.35179999470710754,0.24921885,0.22587514,0.0,1.0,0.19245654,0.2696429,0.2776525,0.32785416,0.29171655,0.5126586,0.67205834,0.5719516,0.1521733,0.16368975,0.1851141,0.16699237,1.0468237,0.17317094
LH_367,0.3614000082015991,0.20754969,0.19140702,0.0,1.0,0.16814123,0.31920743,0.25001475,0.28709668,0.28543958,0.48707378,0.51780796,0.44440773,0.18456922,0.20271689,0.1343835,0.17388986,0.8738167,0.18035337
LH_368,0.4113999903202057,0.23140171,0.19500615,0.0,1.0,0.17551893,0.3219121,0.3050728,0.26528484,0.29742327,0.7114561,0.57982534,0.46678367,0.12680593,0.19716866,0.21427366,0.17941606,1.0642173,0.1690098
LH_369,0.3109999895095825,0.18328728,0.18891452,0.0,1.0,0.13249812,0.2532984,0.3078436,0.28520176,0.2821146,0.44742697,0.5510683,0.42950684,0.15943502,0.13944104,0.17613927,0.15833844,0.86006284,0.15659966
LH_370,0.14579999446868896,0.18996553,0.18320017,0.0,1.0,0.15002924,0.2891597,0.23637846,0.34757566,0.29103795,0.29460177,0.52271056,0.27339286,0.13716371,0.16342561,0.1298302,0.14347316,0.6866899,0.15998368
LH_371,0.3953999876976013,0.2559125,0.21573028,0.0,1.0,0.20763576,0.25102222,0.28080988,0.31630847,0.28271353,0.6879191,0.36173654,0.5345443,0.15194929,0.13603184,0.15112184,0.14636767,0.9648895,0.15245493
