model,k,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
Static GCN,4,123,0.35580000281333923,0.28551048040390015,-0.07028952240943909,-0.07028952240943909,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.43059998750686646,0.3008320927619934,-0.12976789474487305,-0.12976789474487305,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2750000059604645,0.3008320927619934,0.02583208680152893,0.02583208680152893,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.41499999165534973,0.3008320927619934,-0.11416789889335632,-0.11416789889335632,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3061999976634979,0.3008320927619934,-0.005367904901504517,-0.005367904901504517,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.22059999406337738,0.3008320927619934,0.08023209869861603,0.08023209869861603,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4410000145435333,0.3008320927619934,-0.14016792178153992,-0.14016792178153992,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.34540000557899475,0.3008320927619934,-0.04456791281700134,-0.04456791281700134,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.19020000100135803,0.3008320927619934,0.11063209176063538,0.11063209176063538,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.20340000092983246,0.3008320927619934,0.09743209183216095,0.09743209183216095,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2937999963760376,0.3008320927619934,0.0070320963859558105,0.0070320963859558105,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2502000033855438,0.3008320927619934,0.050632089376449585,0.050632089376449585,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.2962000072002411,0.3008320927619934,0.004632085561752319,0.004632085561752319,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3709999918937683,0.3008320927619934,-0.0701678991317749,-0.0701678991317749,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.17980000376701355,0.3008320927619934,0.12103208899497986,0.12103208899497986,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
EvolveGCN-H,6,123,0.11020000278949738,0.29360952973365784,0.18340952694416046,0.18340952694416046,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.2766000032424927,0.2646496593952179,-0.01195034384727478,-0.01195034384727478,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.4758000075817108,0.2985665500164032,-0.17723345756530762,-0.17723345756530762,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.17579999566078186,0.30267763137817383,0.12687763571739197,0.12687763571739197,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.4918000102043152,0.27347737550735474,-0.21832263469696045,-0.21832263469696045,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.12020000070333481,0.30821335315704346,0.18801335245370865,0.18801335245370865,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.3601999878883362,0.29343512654304504,-0.06676486134529114,-0.06676486134529114,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
EvolveGCN-H,6,123,0.29820001125335693,0.27409565448760986,-0.02410435676574707,-0.02410435676574707,0.09758303026358287,0.11615094361192303,-0.042097690611103245,-0.11065228731816482
