universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_15,15,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.20000.list,True,0,3369,3369,3369,3369,0.1762,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_15,15,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.25000.list,True,0,4809,4809,4809,4809,0.1762,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_15,15,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.51209.list,True,0,6162,6162,6162,6162,0.1762,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_15,15,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.75065.list,True,0,5993,5993,5993,5993,0.1762,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_15,15,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_1.00000.list,True,0,6319,6319,6319,6319,0.1762,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_16,16,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.20000.list,True,0,1044,1044,1044,1044,0.1658,True,True,0,0.000000,False,456,0.304000,False,956,0.478000
LH_16,16,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.25000.list,True,0,2217,2217,2217,2217,0.1658,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_16,16,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.51209.list,True,0,5860,5860,5860,5860,0.1658,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_16,16,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.75065.list,True,0,6369,6369,6369,6369,0.1658,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_16,16,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_1.00000.list,True,0,6890,6890,6890,6890,0.1658,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_17,17,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.20000.list,True,0,3578,3578,3578,3578,0.2802,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_17,17,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.25000.list,True,0,5152,5152,5152,5152,0.2802,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_17,17,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.51209.list,True,0,7539,7539,7539,7539,0.2802,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_17,17,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.75065.list,True,0,7306,7306,7306,7306,0.2802,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_17,17,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_1.00000.list,True,0,7446,7446,7446,7446,0.2802,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_18,18,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.20000.list,True,0,7088,7088,7088,7088,0.4578,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
