model,k,seed,experiment_name,experiment_path,dataset_path,dataset_metadata_path,hidden_dim,num_layers,batch_size,epochs,normalization,top_n,split_signature,artifact_status,compatibility,reusable,duplicate_status,test_mae,test_rmse,test_r2,test_pearson,target_std,prediction_std,prediction_std_ratio,repeated_prediction_fraction,metric_check,exact_incompatibility_reason
EvolveGCN-H,12,123,evolvegcn_h_500u_k12_seed123,experiments/evolvegcn_h_500u_k12_seed123,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,2,4,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.097399237752,0.115828584542,-0.0363213538734,-0.0987009674612,0.1145468887,0.013087967591,0.114258603961,0,pass,
EvolveGCN-H,12,2025,evolvegcn_h_500u_k12_seed2025,experiments/evolvegcn_h_500u_k12_seed2025,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.pt,data/processed/temporal_500u_logmass_minmax_top100_periodic_knn_k12/camels_500u_temporal_logmass_minmax_top100_periodic_knn_k12.metadata.json,64,2,4,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.109088244736,0.124366635774,-0.0896232481158,-0.0212667831294,0.119944538532,0.0137288360746,0.114459868224,0,pass,
Static GCN,4,42,static_gcn_500u_k4_seed42,experiments/static_gcn_500u_k4_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,3,8,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0864314244191,0.101687320763,-0.00681276630058,-0.0880530546511,0.102025144782,0.000854912736887,0.00837943174411,0.96,pass,
Static GCN,4,123,static_gcn_500u_k4_seed123,experiments/static_gcn_500u_k4_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,3,8,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.0979616214832,0.114361873557,-0.0102421211061,-0.0523212570238,0.1145468887,0.00647747047735,0.0565486374256,0.733333333333,pass,
Static GCN,4,2025,static_gcn_500u_k4_seed2025,experiments/static_gcn_500u_k4_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k4/camels_500u_static_logmass_minmax_top100_periodic_knn_k4.metadata.json,64,3,8,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.107561546862,0.124869392039,-0.0984507313123,-0.212773518406,0.119944538532,0.0172509875001,0.14382470191,0,pass,
Static GCN,6,42,static_gcn_500u_k6_seed42,experiments/static_gcn_500u_k6_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,3,8,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique,0.0868959043423,0.101982628671,-0.0126689829782,-0.0625586961684,0.102025144782,0.00622096252695,0.0609747973426,0.16,pass,
Static GCN,6,123,static_gcn_500u_k6_seed123,experiments/static_gcn_500u_k6_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,3,8,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique,0.0980597486099,0.114047948417,-0.00470347239789,-0.0474225219299,0.1145468887,0.00284969530674,0.0248779808782,0.68,pass,
Static GCN,6,2025,static_gcn_500u_k6_seed2025,experiments/static_gcn_500u_k6_seed2025,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn_k6/camels_500u_static_logmass_minmax_top100_periodic_knn_k6.metadata.json,64,3,8,300,minmax,100,3ce48b66c11e30bec459c52ba7f4a900809dd2b45be0995b8b56aeaefc747951,5/5 complete,canonical_h64_compatible,yes,unique,0.105338581701,0.12098114079,-0.0311074828405,0.0219703894182,0.119944538532,0.00642540358715,0.0535697887189,0,pass,
Static GCN,8,42,static_gcn_500u_k8_h64_seed42,experiments/static_gcn_500u_k8_h64_seed42,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,64,3,8,300,minmax,100,0f963679cd284fca861fc2c59d88bdae8e8f1f21e2cbe1bb73bd593b49056748,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.0865128229062,0.101769907925,-0.00844883211766,-0.122629944568,0.102025144782,0.000350080984143,0.00343132063071,0.973333333333,pass,
Static GCN,8,123,static_gcn_500u_k8_h64_seed123,experiments/static_gcn_500u_k8_h64_seed123,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.pt,data/processed/static_500u_logmass_minmax_top100_periodic_knn/camels_500u_static_logmass_minmax_top100_periodic_knn.metadata.json,64,3,8,300,minmax,100,853549f16ef8eb3d7f18ae850c94b13c0c8bf0e770bb99cfbffff48b03530266,5/5 complete,canonical_h64_compatible,yes,unique replacement not duplicate,0.0977444352706,0.114519238786,-0.0130242784123,-0.0230247600967,0.1145468887,0.00863614541724,0.0753939763465,0.786666666667,pass,
