universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_13,13,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_0.75065.list,PASS,,6963,6963,True,0,0.0
LH_13,13,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_13_hlist_1.00000.list,PASS,,7337,7337,True,0,0.0
LH_14,14,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.20000.list,PASS,,5671,5671,True,0,0.0
LH_14,14,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.25000.list,PASS,,6962,6962,True,0,0.0
LH_14,14,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.51209.list,PASS,,7975,7975,True,0,0.0
LH_14,14,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_0.75065.list,PASS,,7013,7013,True,0,0.0
LH_14,14,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_14_hlist_1.00000.list,PASS,,6724,6724,True,0,0.0
LH_15,15,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.20000.list,PASS,,3369,3369,True,0,0.0
LH_15,15,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.25000.list,PASS,,4809,4809,True,0,0.0
LH_15,15,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.51209.list,PASS,,6162,6162,True,0,0.0
LH_15,15,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_0.75065.list,PASS,,5993,5993,True,0,0.0
LH_15,15,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_15_hlist_1.00000.list,PASS,,6319,6319,True,0,0.0
LH_16,16,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.20000.list,PASS,,1044,1044,False,456,30.4
LH_16,16,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.25000.list,PASS,,2217,2217,True,0,0.0
LH_16,16,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.51209.list,PASS,,5860,5860,True,0,0.0
LH_16,16,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_0.75065.list,PASS,,6369,6369,True,0,0.0
LH_16,16,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_16_hlist_1.00000.list,PASS,,6890,6890,True,0,0.0
LH_17,17,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.20000.list,PASS,,3578,3578,True,0,0.0
LH_17,17,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.25000.list,PASS,,5152,5152,True,0,0.0
LH_17,17,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.51209.list,PASS,,7539,7539,True,0,0.0
LH_17,17,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_0.75065.list,PASS,,7306,7306,True,0,0.0
LH_17,17,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_17_hlist_1.00000.list,PASS,,7446,7446,True,0,0.0
LH_18,18,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.20000.list,PASS,,7088,7088,True,0,0.0
