universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_177,0.27139999999999997,0.27139999999999997,0.27139999999999997,0.27139999999999997,0.27139999999999997,0.27139999999999997,0.27139999999999997,0,True,5,Omega_M
LH_178,0.22140000000000001,0.22140000000000001,0.22140000000000001,0.22140000000000001,0.22140000000000001,0.22140000000000001,0.22140000000000001,0,True,5,Omega_M
LH_179,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0,True,5,Omega_M
LH_180,0.46379999999999999,0.46379999999999999,0.46379999999999999,0.46379999999999999,0.46379999999999999,0.46379999999999999,0.46379999999999999,0,True,5,Omega_M
LH_181,0.38779999999999998,0.38779999999999998,0.38779999999999998,0.38779999999999998,0.38779999999999998,0.38779999999999998,0.38779999999999998,0,True,5,Omega_M
LH_182,0.39379999999999998,0.39379999999999998,0.39379999999999998,0.39379999999999998,0.39379999999999998,0.39379999999999998,0.39379999999999998,0,True,5,Omega_M
LH_183,0.48139999999999999,0.48139999999999999,0.48139999999999999,0.48139999999999999,0.48139999999999999,0.48139999999999999,0.48139999999999999,0,True,5,Omega_M
LH_184,0.10780000000000001,0.10780000000000001,0.10780000000000001,0.10780000000000001,0.10780000000000001,0.10780000000000001,0.10780000000000001,0,True,5,Omega_M
LH_185,0.44180000000000003,0.44180000000000003,0.44180000000000003,0.44180000000000003,0.44180000000000003,0.44180000000000003,0.44180000000000003,0,True,5,Omega_M
LH_186,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414,0,True,5,Omega_M
LH_187,0.31619999999999998,0.31619999999999998,0.31619999999999998,0.31619999999999998,0.31619999999999998,0.31619999999999998,0.31619999999999998,0,True,5,Omega_M
