model,head_type,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,linear,123,0.29980000853538513,0.2544533610343933,-0.04534664750099182,0.2544533610343933,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10140000283718109,0.05747091770172119,-0.0439290851354599,0.05747091770172119,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3889999985694885,0.45452749729156494,0.06552749872207642,0.45452749729156494,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.34540000557899475,0.38434115052223206,0.038941144943237305,0.38434115052223206,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4602000117301941,0.4681355655193329,0.007935553789138794,0.4681355655193329,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3034000098705292,0.40548673272132874,0.10208672285079956,0.40548673272132874,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2770000100135803,0.38599762320518494,0.10899761319160461,0.38599762320518494,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3425999879837036,0.3586927652359009,0.016092777252197266,0.3586927652359009,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2370000034570694,0.35340675711631775,0.11640675365924835,0.35340675711631775,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.22660000622272491,0.23830583691596985,0.011705830693244934,0.23830583691596985,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3921999931335449,0.4246155321598053,0.032415539026260376,0.4246155321598053,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17579999566078186,0.1868404746055603,0.011040478944778442,0.1868404746055603,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3653999865055084,0.3572860658168793,-0.00811392068862915,0.3572860658168793,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.37459999322891235,0.34870201349258423,-0.025897979736328125,0.34870201349258423,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.25780001282691956,0.28869742155075073,0.030897408723831177,0.28869742155075073,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2913999855518341,0.3008648157119751,0.009464830160140991,0.3008648157119751,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10499999672174454,0.15898627042770386,0.05398627370595932,0.15898627042770386,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.43459999561309814,0.36477285623550415,-0.069827139377594,0.36477285623550415,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
