universe_id,universe_index,omega_m,num_files,required_snapshots,enough_snapshots,snapshots,first_snapshot,last_snapshot,target_key,target_consistent,missing_target,target_in_expected_range,num_unique_targets_found,unique_targets_found,status,example_file,preprocessing_version_context,camels_box_size_context
LH_57,57,0.3874,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3874,OK,LH_57_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_58,58,0.1914,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1914,OK,LH_58_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_59,59,0.4782,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4782,OK,LH_59_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_60,60,0.4258,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.4258,OK,LH_60_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_61,61,0.175,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.175,OK,LH_61_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_62,62,0.239,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.239,OK,LH_62_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_63,63,0.1418,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1418,OK,LH_63_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_64,64,0.1774,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1774,OK,LH_64_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_65,65,0.2922,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2922,OK,LH_65_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_66,66,0.3042,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3042,OK,LH_66_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_67,67,0.1474,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1474,OK,LH_67_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_68,68,0.119,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.119,OK,LH_68_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_69,69,0.2418,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2418,OK,LH_69_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_70,70,0.337,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.337,OK,LH_70_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_71,71,0.2534,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2534,OK,LH_71_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_72,72,0.2102,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2102,OK,LH_72_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_73,73,0.1434,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1434,OK,LH_73_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_74,74,0.2794,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.2794,OK,LH_74_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_75,75,0.1378,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1378,OK,LH_75_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_76,76,0.3978,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3978,OK,LH_76_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_77,77,0.1018,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1018,OK,LH_77_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_78,78,0.1906,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.1906,OK,LH_78_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
LH_79,79,0.3882,5,5,True,"0.2,0.25,0.51209,0.75065,1.0",0.2,1.0,Omega_M,True,False,True,1,0.3882,OK,LH_79_hlist_1.00000.list,v2_logmass_minmax_top100_periodic_knn,25.0
